Data from Subt4_12-25-19-333.txt Node,
Date: Fri Oct 29 12:25:19 BST 2021,
User: php21ajb,
Spectrometer: HR+D0521,
Trigger mode: 0,
Integration Time (sec): 1.000000E-1,
Scans to average: 100,
Electric dark correction enabled: true,
Nonlinearity correction enabled: false,
Boxcar width: 0,
XAxis mode: Wavelengths,
Number of Pixels in Spectrum: 2048,
>>>>>Begin Spectral Data<<<<<,
590.007,0.43
590.457,1.76
590.908,-1.35
591.359,1.51
591.81,-0.39
592.261,-1.16
592.711,-0.19
593.162,-0.08
593.613,-0.85
594.063,1.32
594.514,0.46
594.964,0.61
595.415,-0.71
595.865,-1.06
596.316,-1.49
596.766,-0.27
597.217,0.71
597.667,-0.66
598.118,1.04
598.568,0.97
599.018,-1.18
599.469,-0.81
599.919,0.2
600.369,0.14
600.82,-0.16
601.27,1.08
601.72,1.21
602.17,0.8
602.62,-0.9
603.07,0.32
603.52,0.67
603.971,0.42
604.421,-0.42
604.871,0.13
605.321,0.02
605.771,-1.1
606.221,0.74
606.67,-0.88
607.12,-0.71
607.57,-0.39
608.02,0.49
608.47,-0.78
608.92,-1.48
609.369,0.39
609.819,0.28
610.269,1.44
610.719,0.03
611.168,-0.73
611.618,-0.63
612.067,-0.77
612.517,1.96
612.967,0.43
613.416,-0.85
613.866,0.38
614.315,-1.12
614.765,0.88
615.214,-0.3
615.663,-0.95
616.113,-1.14
616.562,0.89
617.012,0.2
617.461,0.08
617.91,0.37
618.359,0.52
618.809,-0.15
619.258,0.17
619.707,-0.1
620.156,0.1
620.605,1.04
621.055,0.24
621.504,0.63
621.953,0.01
622.402,1.63
622.851,-0.55
623.3,1.93
623.749,0.23
624.198,-0.88
624.647,0.32
625.095,-0.83
625.544,1.1
625.993,0.54
626.442,0.41
626.891,0.32
627.34,-1.26
627.788,0.83
628.237,2.5
628.686,-0.1
629.134,-0.19
629.583,-0.97
630.032,2.13
630.48,1.08
630.929,0.86
631.377,-1.53
631.826,-0.15
632.274,2.05
632.723,1.18
633.171,-1.06
633.62,1.89
634.068,-0.86
634.516,-0.13
634.965,-1.27
635.413,1.1
635.861,-0.22
636.31,1.76
636.758,0.32
637.206,-0.24
637.654,-0.31
638.103,-0.64
638.551,-0.91
638.999,0.49
639.447,-1.98
639.895,0.73
640.343,-2.72
640.791,0.85
641.239,1.63
641.687,0.25
642.135,2.29
642.583,-0.62
643.031,0.59
643.479,0.21
643.927,-0.39
644.374,-1.07
644.822,0.25
645.27,0.79
645.718,0.74
646.166,0.84
646.613,2.31
647.061,0.4
